公司,工作地區,職稱,start_time,end_time,最高學歷,一週工時,待遇,是否推薦此工作,內容
台煒,桃園市,製造工程師,2002-01-21,2004-01-21,大學,45,"40,000 / 月",推,"【工作經驗分享】
薪水一般般，加班都可以報加班費，公司規模不大，但同事都算好相處，主管也很願意指導，算是蠻溫馨的家族企業。"
利達數位影音科技股份有限公司,臺北市,特效助理,2002-01-21,2004-01-21,大學,50,"27,000 / 月",不推,"【實際工作內容】
如下

【升遷制度】
至少3年才有可能獲得升遷機會"
高鼎精密材料股份有限公司,臺中市,化學相關研究員,2005-01-21,2007-01-21,碩士,9,"60,000 / 月",不推,"【說說公司文化吧】
公司文化很封閉、保守，傳統的傳產企業，一言堂、老闆說了算，聽話最重要，盲從沒關係，上面責任推給下面的也是時常有的事情，許多年紀大的主管待到無法轉職了有苦說不出，當跳板可以，可以來培養磨練心性，如果是真心想來學東西的，要靠自己努力。"
聯強股份有限公司,臺北市,全端工程師,1900-01-20,1902-01-19,大學,,"520,000 / 年",不推,"【應屆的標準】
畢業新人時期紀錄
"
萬鼎工程服務股份有限公司,臺北市,土木技師╱土木工程師,2001-01-21,2003-01-21,碩士,40,"44,800 / 月",推,"【工作內容:】
管線定線設計
排水工程設計
GIS應用"
台灣積體電路製造股份有限公司,臺南市,工程師,2001-01-21,2003-01-21,碩士,62,"125,000 / 月",不推,"【工作內容】
基本上一天會花很多時間再開各種會，等晚上才有時間做自己的事"
全聯,嘉義縣,營業員,1900-01-20,1902-01-19,碩士,40,120 / 小時,不推,"【理貨跟排貨】
個人覺得很簡單，但是只適合短期打工"
瑞昱半導體股份有限公司,新竹市,資深系統設計工程師,2004-01-21,2006-01-20,碩士,50,"100,000 / 月",不推,"【實際工作內容】
系統模擬、系統驗證、除錯分析、文件撰寫


【工時狀況】
常態9:30-21:00
忙的時候回家繼續做或週末自主加班

【公司管理方式】
責任制

【公司 / 團隊文化】
風氣自由。
分工不明確，提出問題的人比解決問題的人多。
建議進去前打聽清楚部門風氣。"
訊連科技股份有限公司,新北市,資深網頁工程師,2005-01-21,2007-01-21,大學,42,"900,000 / 年",推,"【主管與同事間有良好的工作默契】
同事間互助合作，主管信任部屬所完成的交付任務 "
環球購物中心股份有限公司,新北市,營業主管,2026-01-21,2028-01-21,五專,45,"100,000 / 月",不推,"【公司 / 團隊文化】
公四司文化之與向心力來自排擠外來主管，非以成事。無如對外表彰的文化，終以看大老闆臉色轉風向，無需專案經理人的公司。

【實際工作內容】
無可全力用心於工作，以時時防範被霸凌陷害，且被等著看好戲及栽贓的環境，無需專業經理人學成。"
台灣積體電路製造股份有限公司,臺中市,半導體設備工程師,2003-01-21,2005-01-20,碩士,60,"100,000 / 月",,"【外面的想進來 裡面的想出去】
進來前多問問身邊在台積工作的人吧"
聯萌科技股份有限公司,臺南市,生產設備工程師,1900-01-20,1902-01-19,大學,40,"35,000 / 月",不推,"【工作心得】
同事學長程度中等偏下 主管脾氣差 幾乎都在無塵室 需久站 常臨時出差(不給你路程時間的那種)"
采鈺科技股份有限公司,新竹市,半導體設備工程師,2002-01-21,2004-01-21,大學,55,"80,000 / 月",推,"【錢多】
錢多但操，適合年輕人試試，加班需要主管同意才能報，但多數時候沒有辦法準時下班，必須輪夜班"
宜寧中學,臺中市,行政職員,1900-01-20,1902-01-19,大學,40,"29,000 / 月",,"【實際工作內容】
一般行政、招生事務"
鴻海,新北市,硬體研發工程師,2004-01-21,2006-01-20,碩士,50,"60,000 / 月",不推,"【EE 沒滿三年不是人】
沒想待滿不要輕易嘗試"
直航聯合有限公司＿直航租車,高雄市,行政人員,2003-01-21,2005-01-20,大學,40,"27,000 / 月",不推,"【工時狀況】
這間租車公司加班不給加班費，只給補休，而且必須要1小時為單位，所以30、45分鐘都不算，還會質疑你為什麼會拖到1個小時而不給你過申請；再加上公司一直請不到人，人力不足根本不能抵休，只能做白工。

惡意調職／解雇：
公司會要求你跨三縣市支援業務，但只補助車錢，住公司提供的宿舍，薪資僅家不到2000，如果你不從就強迫把你調去，你不去就以曠職論然後懲處解雇，這是這間公司的慣用手法，而且女性林老闆不聞不問，男性高老闆也是默認，都覺得公司省錢就好，員工就算颱風也要冒風雨跨縣市上班是應該的。

【薪資福利】
薪資是26K+獎金，但獎金根本不用肖想，因為標準是老闆自己憑感覺訂立的根本沒有依據很難達成，公司一直看同行多少錢就一直壓低價格，本來公司品質就很糟糕了還跟人家打低價策略，根本惡性循環達不到業績；順便說下業績計算多離譜...業績是每個月都結算，高過100%的會拿去補之前不足的月份，等之前欠的「業績債」都還完，你才有獎金，所以沒還完之前，是沒有獎金的，而且獎金要自己算自己申請過了就沒了，過了還會刁難打折拖時間或是分期給。

※ 年終給不多，工作1年給不到0.2個月。
※ 從一般店員升到店長，工作跟責任多很多，但才+1000。

【公司管理方式】
公司保險：
公司會要求要你去其他地方調換車子，但是你把車開出去出事情的話，你就要先墊錢賠償公司，然後事後再自己去跟肇事者討錢，而且還會跟你算營業損失、折舊費...這些保險不賠的東西，怎麼辦理客人就怎麼辦理你，即使你是被要求開車出去的，一樣都沒有保障。
而且這間直X租車公司更惡劣的是只要客人租車，就會用保險去坑錢，即使沒有要修也會要求要車損+營業損失+折舊費用，幾千塊變成幾萬塊，是同業中最惡意的，而且夫妻老闆都贊同，還洋洋得意說這間X航租車就是靠保險討錢賺起來的。

其他：
公司不能聽音樂、因為覺得你會聽不到電話聲；沒關冷氣或電器會扣你錢；而且老闆很情緒化又有公主病，經常以偏概全的亂罵人，昨天說一套今天改一套，而且看不清現實以為自己的公司最優質，但又一直壓低價格打價格戰不願提升公司價值。

PS.一間門市只能一台電腦可以處理客人，所以同時有2組客人，就要等了，設備還很差，經常當機或是卡住；公司系統還超爛，現在都甚麼時代了，還有在手動打單、沒有會員資料每次都要跟客人拿證件影印，總公司還是用人工看帳，每天接總公司會計的電話問哪個訂單怎樣，作帳怎樣都煩死了。

還有公司設備維修等3個月沒消息是常態喔，像總公司的冷氣在暑假期間等了3個月都沒修，反正不影響賺錢，不管員工死活。"
富聯工程顧問股份有限公司,基隆市,專案工程師,2001-01-21,2003-01-21,碩士,40,"32,000 / 月",不推,"【處理民眾陳情事項】
公司承接政府環境工程標案，專案工程人員負責處理民眾陳情反映，時常加班。 "
聯發科技股份有限公司,新竹市,數位IC設計工程師,1900-01-20,1902-01-19,碩士,40,"150,000 / 月",推,"【工作經驗】
整體學習環境還算不錯"
明日科技股份有限公司,臺北市,助理工程師,2004-01-21,2006-01-20,大學,37,"36,000 / 月",推,"【工作忙碌,學到很多】
工作忙碌,學到很多"
安永聯合會計師事務所,臺北市,查帳╱審計人員,1900-01-20,1902-01-19,大學,60,"34,000 / 月",推,"【新人起薪】
34,000"
康舒科技股份有限公司,新北市,硬體工程師,2001-01-21,2003-01-21,大學,50,"37,000 / 月",推,"【一班的EE】
有點硬

【實際工作內容】
一班的EE

【工時狀況】
加班加不停

【升遷制度】
一年兩考"
鐶宇科技,新竹市,駐廠台積電維修工程師,2003-01-21,2005-01-20,大學,45,"32,000 / 月",不推,"【很累】
累！！輪班on call"
南光化學製藥股份有限公司,臺南市,助理研究員,2005-01-21,2007-01-21,碩士,,"38,000 / 月",推,"【HPLC分析】
物化及微生物檢驗
文件處理"
日月辰工程顧問有限公司,臺中市,規劃師助理,2002-01-21,2004-01-21,碩士,40,"30,000 / 月",推,"【初入職場首選】
老闆人很好，事情不多，基本上不加班，偶爾意外加班都有加班費和餐費，外出也全程報公帳，很適合初入職場。"
長庚醫療財團法人,桃園市,研究助理,2002-01-21,2004-01-21,大學,40,"33,000 / 月",不推,"【薪資照計畫給】
錢少事多
不給機會轉入編制內"
敬鵬,桃園市,客服工程師,2004-01-21,2006-01-20,大學,60,"40,000 / 月",不推,"【工作經驗分享】
PCB產業是個練功的好地方，制度流程，及新人教育訓練完善。

【】
工作內容為客訴處理，分析異常及回覆8D.  "
台達電子工業股份有限公司,臺南市,產品售後技術服務,2010-01-21,2012-01-21,碩士,45,"63,000 / 月",推,"【公司/團隊文化】
同事之間會互相幫忙，工作氣氛不錯。下班後偶爾會有聚餐"
台灣中油股份有限公司,臺北市,管理師,2001-01-21,2003-01-21,碩士,40,"40,000 / 月",不推,"【雜事非常多 要配合做很多鳥事和無意義的事】
越認真只會在屎缺 越爛越爽"
科聚企業有限公司,臺北市,整合工程師,2002-01-21,2004-01-21,大學,,,推,"【大約工作內容】
大致上是現場網路拉線 設備規劃, 以及對客戶做設備教育訓練, 以及替客戶排除現場設備問題"
全家便利商店股份有限公司,桃園市,店長╱賣場管理人員,2005-01-21,2007-01-21,大學,50,"42,000 / 月",,"【訂貨作帳，進貨上貨，結帳客人】
然後不斷的被公司擔當推業績業績…
責任制，要對服務業有熱忱信心的人"
工研院分公司,新竹縣,研究員,2006-01-21,2008-01-21,碩士,45,"1,180,000 / 年",推,"【系統研發工程師】
各種福利都不錯，工作內容，基本上認真作，不太需要到加班，事情是能很順利完成，工作壓力不會很大"
MOXA,新北市,硬體工程師,2005-01-21,2007-01-21,碩士,40,"80,000 / 月",,"【工作心得】
好處
生活和工作平衡，在交通便利處
壞處
但是內部流程很多，限制頗多"
台灣信威資訊科技股份有限公司,臺北市,QC,1900-01-20,1902-01-19,,,,不推,"【實際工作內容】
要求我們在規格資訊不明確的狀況下發想測試案例..."
群創光電股份有限公司,臺南市,IE工程師,1900-01-20,1902-01-19,碩士,40,"50,000 / 月",不推,"【工作內容很制式】
會議及工作內容很多都固定
"
育駿科技股份有限公司,臺北市,營運PM,1900-01-20,1902-01-19,碩士,40,"45,000 / 月",推,"【工作內容】
包含開發中遊戲測試，代理可能性評估，遊戲調優建議提案，遊戲上架準備工作，遊戲上架，遊戲營運活動規劃，遊戲版本追蹤，遊戲客訴處理。聽起來很多事，但同時間要處理的事情真的不多，平均一個PM會有兩到三個案子在手。

【公司管理方式】
PM可報加班，但只能換補休，不能選加班費。基本上公司不鼓勵加班，事情能做完就按時下班，不會有主管覺得你太早下班而認為你沒做事。案子穩定營運帶來收益就是最好的成績，並會依案子的成績進行調薪。

【公司 / 團隊文化】
PM部門的氣氛十分不錯，包含與主管層級之間的交流都沒有明顯的階層感。"
隆芳興業股份有限公司,彰化縣,國外業務代表,2002-01-21,2004-01-21,大學,50,"32,000 / 月",不推,"【工作內容】
公司是和鞋子品牌做生意，賣產品給鞋廠，基本上產品都是品牌指定使用，再出貨銷售到鞋廠，跟對主管可以學到很多但是壓力也非常大，需要細心和整合能力，每天的工作都非常多非常雜，熟悉之後可以建立自己的sop會讓工作輕鬆很多
剛畢業進去如果主管願意幫你報加薪的話，薪水漲幅在鄉下算還不錯

【公司 / 團隊文化】
主管屬於非常嚴格，且傳產文化講話非常不客氣

【薪資福利】
除了底薪之外沒什麼其他的獎金，年終印象中不到一個月"
中磊電子股份有限公司,臺北市,RF通訊工程師,2001-01-21,2003-01-21,碩士,40,"50,000 / 月",推,"【Wifi與藍牙】
工作愜意，同事好相處"
富利餐飲股份有限公司,臺北市,IT工讀生,1900-01-20,1902-01-19,大學,24,160 / 小時,推,"【工作環境】
辦公室很漂亮，公司氣氛很好，同事都很友善"
騰錂鐳射,新竹市,製程工程師,2001-01-21,2003-01-21,碩士,45,"47,000 / 月",,"【產品研發跟製程包再一起甚麼都要做】
目前就是包山包海，研發製程生產通通來，rd主管蠻好溝通的也很好講話"
明泰科技,新竹市,專案副理,2007-01-21,2009-01-20,碩士,40,"73,000 / 月",推,"【工作環境】
有3~5年資的工程師較缺乏"
全漢企業股份有限公司,桃園市,國內業務人員,2003-01-21,2005-01-20,大學,45,"42,000 / 月",不推,"【制度僵化 且內部會議 決議多且窒礙難行】
整體公司制度很美好，但現實是太多老員工在裡面，雖有規則但卻又有另一套玩法
主管好的單位 感覺就好 但我待的單位 主管基本上就是愛開會 愛當好人 

【工時狀況】
有彈性工時還不錯 缺點是因為是業務 我準時下班還被酸過

【實際工作內容】
剛好遇到公司交貨不順的時期 基本上就是天天去客戶端開會 被檢討"
三枝部造股份有限公司,臺北市,門市╱店員╱專櫃人員,1900-01-20,1902-01-19,,40,"32,000 / 月",不推,"【實際工作心得】
小公司制度詭異
特休需要提前三個月提
但因為沒有多餘人力所以難以通過
對，沒有不能休，只是限制很多
甚至連喪假都不能自主安排

公司規模真的太小
一個人要做很多事
加上主管經常使用精神暴力
身心俱疲

員工流動率非常高

雖然老闆人不錯
但公司管理層面真的不行

這些都是面試時感受不到的
如果你自認很M
可以挑戰"
鉅晶國際股份有限公司,臺北市,技術工程師,1900-01-20,1902-01-19,碩士,40,"45,000 / 月",推,"【實際工作內容】
作為代理商的技術工程師，除了需要了解原廠的產品之外，還有機會能夠直接面對客戶做服務，因此常常需要出差。透過On Job Training訓練過後，也會有機會能夠對客戶進行產品簡報、POC、教育訓練和售後服務等等。因此雖然身為一個技術工程師，卻可以額外接觸到Presales、FAE工程師的工作內容。

加班與否主要是看客戶的需求是否能夠順利完成。"
機光科技股份有限公司,新竹市,有機合成工程師,1900-01-20,1902-01-19,碩士,45,"37,000 / 月",不推,"【工作內容】
就是有機合成，但第一天開工時Hood空無一物，鐵架不僅自己要組而且還生鏽，設備老舊，數量不夠大家使用

【薪資福利】
月薪偏低，不確定獎金多寡

【工時狀況】
第一週上班就天天加班，做到第5天就離職"
漢磊科技股份有限公司,新竹縣,工程師,2004-01-21,2006-01-20,碩士,50,"60,000 / 月",,"【開會、處理電性問題、SPC管控】
事情不少，老闆很不錯，可以讓下面的人發揮"
財團法人資訊工業策進會,臺北市,系統工程師,2020-01-21,2022-01-20,大學,40,"700,000 / 年",推,"【會內系統內部 開發及維護 】
共21年期間 簡述之

【實際工作內容】
前 5年 : 由於本人是由 公司內部部門 測試人員 做起 , 再換為 內部 MIS , 再換為 處內系統開發 做起 
前 6-16 年 :
改到會內資訊處專門寫 MIS 相關的會內系統內部 開發及維護 , 故省去許多 新系統開發訪談 / 系統關鍵問題設計 / 系統整合設計 的問題( 以上問題於 公司內部部門 MIS 做起 時已想過許多 解決方案 ) .  資訊處 長官 任可原本工作態度 , 也與 上下游員工 相處良好 , 故 系統開發尚堪順利 
後 5 年 :
還是在會內資訊處 , 但大多是 系統問題處理/自主學習 / 開會 / 交接新人
系統整合及改版時期 , 需要了解 其它系統運作 , 主動 提出整合方案供 業管單位認同 , 故平常情報收集很重要 , 於核心技術需配合實作能力 提出案例 , 說服上下級長官同意修改



"
信源企業股份有限公司,臺北市,產銷,2003-01-21,2005-01-20,大學,40,"38,000 / 月",不推,"【廠區產能規劃與分析評估】
負責廠區產能規劃與分析評估，整理追蹤訂單與物料資料，確保生產進度，掌握主副料進度，使訂單安排、異動調整、生產流程能靈活應變

[數據分析 產能報表規劃]
◆接單總表 : 依照業務下單數量，提供預計訂單數量報表給廠區
◆依照工廠預計產能與業務確認下單生產的工廠，避免工廠暴單或缺單情形發生
◆物料追蹤大表 : 核對所有主副料出貨時間，確保廠區物料銜接順利
◆出口通知大表 : 確認出口前三周所有成衣進度，避免空運情形發生，確保交期的合理性與成本管控


[專案管理]
◆提報每年度的產能規劃與成本控管報表
◆依據各廠產能， 提供做明年度的預算及接單計畫

【工時狀況】
不須加班，但須配合出差志負責廠區"
三聯科技股份有限公司,新北市,軟體設計工程師,1900-01-20,1902-01-19,,,,推,"【網站架設，Raspberry PI 程式設計】
實習生，主要是協助RD部門完成工作，需要使用到 Vue.js 等和 C/C++"
核心技術有限公司,臺北市,工程師,1900-01-20,1902-01-19,,,,推,"【各組的工作氣氛不一樣】
我很幸運所在的組工作氣氛很好
組員間會互相合作幫忙
Leader 也會指導很多工作案件、Side Project 的技術內容

很推薦工程師來這練功、看看101
等覺得膩了
變強後再找找下一個地方"
核心技術有限公司,臺北市,QA,1900-01-20,1902-01-19,,,,不推,"【不受管理的主管行為？】
已提離職

QA組主管新官上任，
在Coding、測試方面的經歷狂吹牛B的同時，
要求我們要加強邏輯、Coding的能力，
每天1、2小時的日會上面直接檢討...。

這與一年前面試時談的條件不同，
主管、公司都沒有輔導方案。
（日會上 ""嚴厲指導"" 算嗎？）

主管的溝通能力差，
造成大家壓力很大，
全組離職"
東森得易購,新北市,資訊工程師,2001-01-21,2003-01-21,大學,40,"672,000 / 年",推,"【工作情況分享】
在B2B、B2E團隊，整體而言公司滿養老的，需求不會太多，就算多也有足夠的人力可以分派。
內部程式碼一團混亂，要做一些特別的改動優化比較不容易，但我任職時的主管、同事人都非常好，因此工作還算愉快。
幾乎不加班，只有偶爾在有很緊急的需求時需配合加班完成，當然如果你的速度夠快是可以不用加班的，加班頻率非常低。沒有加班費，只能換補休。

跨部門的溝通配合，遇到特定的團隊有時會難以配合，需為了該團隊做出各種特例，但即使如此整體而言工作量並不重。

年薪保障14個月，總裁曾說業績很好，結果年終一樣照合約發，並沒有多給。
平時有季獎金可以領，但名額較少，並非團隊內所有人都可以領。若比較有企圖心想增加收入的人，需要額外付出更多努力才有機會爭取到。

是很適合養老的公司，我待的團隊相處融洽，但薪水可能就普通。
待了1.5年第一次調薪結果才調2%"
南山,臺北市,櫃檯,2006-01-21,2008-01-21,大學,42,"32,000 / 月",,"【工作穩定】
公司同事好相處，沒業績壓力，薪資較低，整體還算穩定"
典匠資訊股份有限公司,臺北市,人事行政,2002-01-21,2004-01-21,大學,45,"32,000 / 月",不推,"【實際工作內容】
只能說小公司內勤幾乎什麼都要做，人資、總務、採購甚至到出納，好處就是可以學到很多，壞處就是特定工作日如月初，蠻容易加班的。
公司基本上內鬥蠻嚴重的，而且員工的亂象就是「會吵的小孩有糖吃」印象最深刻的是一個業助工作就那樣還嫌東嫌西，各種推工作，他的主管把他捧上天，連高層主管都拿她沒轍..後來公司成立新的業務部門，請她幫忙她也是更種推工作，她親愛的主管還跑來煩我們行政部要我們幫忙，真扯..是在我離職職前那個業助跟他的主管都離職了啦，只能說公司還是一團亂沒制度，後來公司居然找了一個完全沒有人事行政經驗的法務當我的主管！？那時也是搞得雞飛狗跳，完全不瞭解工作只會想指揮對底下人頤指氣使（誰鳥他），只能說公司非常缺乏適才適所。
如果你（妳）是剛畢業的新鮮人可以去那邊磨個一兩年，但賺到經驗就趕快找下一步了吧"
ROOTS,臺北市,PT,2002-01-21,2004-01-21,大學,20,150 / 小時,不推,"【工作分想：】
只能說因為不得店長喜歡，幾乎吧台到閉店結帳都是一位副店跟一位正職教我的，店長很會依個人喜好對待底下的人，得店長喜歡的上班擺爛滑手機都沒差，不得店長喜歡的就是各種被電..唯一好處就是有供餐跟一天兩杯飲料啦..."
博格科技股份有限公司,臺北市,軟體助理工程師,1900-01-20,1902-01-19,大學,45,"30,000 / 月",不推,"【實際工作狀況】
一開始說的很好聽，很包容應屆畢業生，很給予機會，結果根本相反，一開始進來主管還會很積極的開會，之後兩個禮拜就被放生了...有位行銷要離職，要我接他的工作收尾，然後收尾完才來一個半月，就以「都來一個月還搞不清楚狀況」為由資遣人@@
在我被開除之前有來一個視覺設計，聽說也是做半年就被開除..奉勸大家要到這間公司面試三思，一間沒制度沒有好的工作規劃的公司，去了也只是浪費別人時間而已。"
全聯實業股份有限公司,高雄市,PT,1900-01-20,1902-01-19,大學,40,158 / 小時,推,"【#心得】
通常是去顧展間，或是整理一些內部的研究資料
工作環境很棒，主管對Pt都很友善"
嘉甫室內裝修工程股份有限公司,臺北市,裝修工程師,2002-01-21,2004-01-21,大學,50,"45,000 / 月",推,"【福利及制度】
工作量隨不小，但在職期間公司該給的都會給，加班費及福利與入職談的一樣，以能力為主的公司"
希睿,高雄市,賣場檔期銷售,2001-01-21,2003-01-21,大學,,"1,500 / 日",推,"【賣場銷售】
我們是在賣場（家樂福、大樂?）賣場做駐場檔期銷售的，一般來說都是六日上班。可自由排班及選擇店家（沒跟別人衝突的話），銷售的產品種類多樣化，牙膏、零食、生活用品等等都涵括在內，上班前也會有教育訓練帶你了解產品～"
玉山商業銀行股份有限公司,臺中市,行員,2001-01-21,2003-01-21,大學,,,推,"【教育制度完善】
教育制度很完善！有學長姐帶領不用擔心學不會"
景碩科技,桃園市,品保工程師,1900-01-20,1902-01-19,碩士,50,"48,000 / 月",不推,"【工作內容及總結】
景碩內Q分成外Q及內Q，我自己是從事CQE，應對客訴的工作。公司內部有三個月的員工訓練，不過因為工作所需，實際上再訓練前就需要在部門內摸索並跟前輩請教工作上的各方面問題。工作內容包含大量的8D報告撰寫、品質問題追蹤、客戶稽核準備與陪同和追蹤、客戶端QBR出差報告、內部品質會議、特定客戶專案團隊等等，工作時間非常長，建議住在公司附近，整體來說是可以快速提煉工作經驗非常精實的職位，需要有高度的抗壓性和樂觀的性格，好處是景碩再基板廠產業來說，薪資頗高。"
清華大學,新竹市,博士後,1900-01-20,1902-01-19,博士,40,"60,000 / 月",不推,"【實際工作內容】
寫文章 指導研究生"
台灣信威資訊科技股份有限公司,臺北市,軟體工程師,1900-01-20,1902-01-19,,,,不推,"【工作環境狀況】
Old School 思維評判與決定所有做法, 
產品需求多變, 
規格不明確,
開發方式亂, 
會甩鍋給員工...

不建議來這邊"
尼爾森行銷研究顧問股份有限公司,臺北市,分析師,2001-01-21,2003-01-21,碩士,55,"41,000 / 月",推,"【實際工作內容】
主要負責客戶、跨部門溝通、專案管理、數據分析及簡報產出，經常性需要加班但是個練功的好地方"
家福股份有限公司,臺中市,網購部門營業人員,1900-01-20,1902-01-19,大學,52,"32,000 / 月",不推,"【薪資福利】
沒什麼福利可言 正職員工就一個月年終 其他小獎金整年加起來不會超過一萬

【公司管理方式】
沒什麼在管 畢竟已經沒人要去了 再管大概就真的沒人了

【實際工作內容】
主要工作就是撿貨理貨，需要站一整天並且搬重物

【工時狀況】
明天訂單一定要今天做完 所以忙的時候會非常忙 長達12小時

【獲得的成長】
很會走路 力氣變大 肌肉長出來

【給公司的建議】
這間公司不會鳥基層的建議

【升遷制度】
基本上朝主管走就是轉儲備 以後有缺當課長 不當主管可以選當營業組長(TL)

【公司 / 團隊文化】
同事都算好 畢竟同甘共苦"
英業達股份有限公司,桃園市,作業員╱包裝員,2003-01-21,2005-01-20,,45,"35,000 / 月",推,"【龜山製造廠 作業員】
幹部素質普遍不錯，同事相處融洽，工作壓力低"
台拓,桃園市,工程師,1900-01-20,1902-01-19,大學,40,"36,000 / 月",,"【實際工作經驗】
工作量蠻多蠻大的，但是非常能學習到非常多的經驗與專業知識，如果是社會新鮮人蠻推薦來的！"
仁寶電腦工業股份有限公司,臺北市,測試工程師,2001-01-21,2003-01-21,大學,40,"30,000 / 月",推,"【實際工作內容】
依照客戶需求，選擇硬體軟體，再測試是否合乎標準，有機會接觸撰寫測試工具的程式。

【獲得的成長】
一些COMMAND的指令"
錏鈦科技有限公司,臺北市,軟體工程師,1900-01-20,1902-01-19,大學,40,"35,000 / 月",不推,"【公司福利】
福利不佳，除同事友好外，環境不佳。"
京元電子股份有限公司,新竹市,生產設備工程師,1900-01-20,1902-01-19,大學,40,"36,000 / 月",不推,"【工作無意義】
年最多15月，浪費生命，學不到專業，錢少，工作無意義。想混日子來試試"
金山電子工業股份有限公司,新北市,業務助理,1900-01-20,1902-01-19,,,,,"【工作心得】
家族企業沒什麼制度，不過名聲響亮，適合畢業新鮮人練功

【公司管理方式】
上班打卡制，下班責任制"
凌巨科技股份有限公司,桃園市,工程師,2012-01-21,2014-01-20,大學,40,"41,000 / 月",不推,"【工作內容大多在生產線內部，職務工作分配不均，】
誰較有能力，工作越多，大多數工作都落在資深員工上，"
金山電子,新北市,業務,2004-01-21,2006-01-20,大學,50,"40,000 / 月",推,"【 工作內容】
1  客戶需求樣品及承認書申請 
2  回覆客戶規格報價及交期 
3  國內客戶資料往來聯繫、回覆處理 
4  客訴處理  
5  拜訪客戶以了解客戶需求，並及時提供客戶所需資料  
6  主管交辦事項處理 8跨部門間協調及溝通   "
京元電子股份有限公司,苗栗縣,工程師,2002-01-21,2004-01-21,碩士,40,"43,000 / 月",推,"【正常上下班，平穩的工作，廠區很多中午餐廳選擇多】
軟體主管人都不錯
"
達盛電子,新竹市,軟體工程師,2005-01-21,2007-01-21,碩士,40,"50,000 / 月",不推,"【工作內容：】
軟體開發、軟體設計
軟體測試、系統維護
系統安裝、客戶服務"
僑興資訊股份有限公司,臺北市,系統工程師,2003-01-21,2005-01-20,大學,45,"40,000 / 月",不推,"【公司產品】
金融業電話語音及傳真系統
醫療院所語音掛號系統
保單電子簽核傳真系統
網路電話交換機
與護士鈴廠商合作介接網路電話交換機
自動化簡訊通知郵務士取件
節費電話(網路電話)

【實際工作內容】
維護Unix SCO系統
客戶作業系統弱點處理
規劃及採購硬體配備並燒機檢測
系統安裝設定及安裝電話卡並檢測
工業主機故障檢查及送修廠商
電話端子檢測查修
安裝MS-SQL或MySQL
安裝Hyper-V虛擬機
安裝設定檢測公司語音系統
護士鈴介接通話系統查修
客戶網路電話交換機安裝設定維護
網路電話閘道器安裝設定
網路電話安裝設定
協助開發人員到場收集問題及更換語音程式
協助開發人員檢測各項功能正確性
公司開發機安裝設定維護
公司網路電話交換機安裝設定維護
公司伺服器維護
公司網路維護
公司備品零件檢測(主機板、電話卡、網路電話閘道器、moxa卡等)

【獲得的成長】
樣樣學樣樣不精，一些領域直接被客戶教育訓練，例如Unix操作及資料庫安裝時設定優化。
有些則是跟著案子邊學邊做，例如網路閘道器需要A功能就發信詢問廠商該如何設定或詢問公司資深同事或查原廠手冊是否有相關設定。"
日月光半導體製造股份有限公司,桃園市,MES工程師,2002-01-21,2004-01-21,大學,43,"40,000 / 月",不推,"【實際工作內容】
產線需求開發，問題排解，COM專案導入"
京鉅企業有限公司,桃園市,機械工程師,2010-01-21,2012-01-21,大學,40,"60,000 / 月",不推,"【十年來的經歷】
小公司工作內容非常雜也沒有範圍界定 誰可以就是誰上 能者過勞 可以學的東西很多但是也是非常累"
華碩電腦股份有限公司,臺北市,ANDROID 工程師,2004-01-21,2006-01-20,碩士,42,"900,000 / 年",不推,"【系統App】
維護系統App功能與新版 Android Porting，工作內容與模式相當固定。最大缺點就是學到的東西很少而且在其他地方用不到。
"
隆達電子,新竹市,研發工程師,2002-01-21,2004-01-21,碩士,40,"50,000 / 月",推,"【實際工作內容】
處理產品開發各種問題"
品興營造,臺北市,工程師,2003-01-21,2005-01-20,大學,50,"900,000 / 年",推,"【概況】
這邊的好處就是福利敢給、地位是甲兼乙、公司財務狀況良好。缺點是上市公司拼營收，沒有一個工地是不趕的。而趕起來問題就很多...就會需要很多心力、時間、耐性去處理。"
品興營造,臺北市,工程師,2003-01-21,2005-01-20,大學,50,"900,000 / 年",推,"【概況】
這邊的好處就是福利敢給、地位是甲兼乙、公司財務狀況良好。缺點是上市公司拼營收，沒有一個工地是不趕的。而趕起來問題就很多...就會需要很多心力、時間、耐性去處理。"
達運精密工業股份有限公司,新竹縣,光學工程師,2003-01-21,2005-01-20,碩士,43,"49,500 / 月",推,"【工作內容分享】
主要負責背光模組開發與設計，新材料的測試驗證，新技術開發，產品負責與問題解析，投產時要到大陸出差，通常配合客戶或問題才會加班。公司氣氛不錯，唯一缺點是可以穩定獲利或高毛利的產品，近幾年虧損，導致人員來來去去。"
精英電腦股份有限公司,臺北市,硬體工程師,2007-01-21,2009-01-20,碩士,50,"730,000 / 年",推,"【工作經驗】
遇到的老闆都還不錯,肯做肯學可以學到很多東西,"
瑞基海洋生物科技股份有限公司,臺中市,生產工程師,2001-01-21,2003-01-21,碩士,40,"32,000 / 月",,"【瑞基海洋生物 生產工程師】
藥品配置 分裝 包裝
協助包裝 
文件整理
環境整理"
聯發科技股份有限公司,新竹縣,主任工程師,2009-01-21,2011-01-21,碩士,60,"140,000 / 月",不推,"【錢普事多，單位內問題不少但沒有人能解決】
如果不想花費太多精神力在本業以外，請多考慮"
